"Date","Price","Open","High","Low","Vol.","Change %"
"26/07/2021","165.00","165.00","168.00","163.00","439.60K","0.00%"
"23/07/2021","165.00","165.00","165.50","163.00","489.29K","0.00%"
"22/07/2021","165.00","165.00","169.90","163.50","392.59K","0.00%"
"19/07/2021","165.00","165.00","168.00","164.00","271.21K","0.00%"
"16/07/2021","165.00","164.00","165.00","165.00","280.91K","0.61%"
"15/07/2021","164.00","164.00","164.00","164.00","887.10K","0.00%"
"14/07/2021","164.00","163.00","164.00","164.00","2.03M","0.61%"
"13/07/2021","163.00","163.00","165.00","161.40","450.52K","0.00%"
"12/07/2021","163.00","164.00","164.10","163.00","4.75M","-0.61%"
"09/07/2021","164.00","164.00","165.00","162.90","944.62K","0.00%"
"08/07/2021","164.00","164.00","164.00","162.90","1.89M","0.00%"
"07/07/2021","164.00","164.00","163.50","162.00","329.51K","0.00%"
"06/07/2021","164.00","164.00","164.00","162.80","787.46K","0.00%"
"05/07/2021","164.00","164.00","164.00","163.00","33.95K","0.00%"
"02/07/2021","164.00","164.00","164.30","163.50","168.35K","0.00%"
"01/07/2021","164.00","164.00","165.50","163.50","616.20K","0.00%"
"30/06/2021","164.00","163.00","164.00","164.00","10.17M","0.61%"
"29/06/2021","163.00","163.00","165.90","163.00","556.06K","0.00%"
"28/06/2021","163.00","163.00","163.00","163.00","9.21M","0.00%"
"25/06/2021","163.00","165.00","164.00","163.00","922.51K","-1.21%"
"24/06/2021","165.00","165.00","165.00","165.00","490.92K","0.00%"
"23/06/2021","165.00","165.00","165.00","163.00","318.34K","0.00%"
"22/06/2021","165.00","165.00","165.00","165.00","2.02M","0.00%"
"21/06/2021","165.00","165.00","165.00","162.60","401.07K","0.00%"
"18/06/2021","165.00","165.00","165.00","161.00","396.00K","0.00%"
"17/06/2021","165.00","165.00","167.90","163.00","315.23K","0.00%"
"16/06/2021","165.00","163.00","165.00","165.00","1.36M","1.23%"
"15/06/2021","163.00","162.70","163.00","162.60","2.34M","0.18%"
"11/06/2021","162.70","165.00","162.80","162.70","1.62M","-1.39%"
"10/06/2021","165.00","165.00","165.00","164.30","139.03K","0.00%"
"09/06/2021","165.00","165.00","168.00","163.00","745.47K","0.00%"
"08/06/2021","165.00","165.00","168.00","163.00","60.03K","0.00%"
"07/06/2021","165.00","165.00","167.00","164.00","422.33K","0.00%"
"04/06/2021","165.00","164.90","165.00","165.00","869.11K","0.06%"
"03/06/2021","164.90","162.50","164.90","164.90","603.20K","1.48%"
"02/06/2021","162.50","162.50","167.90","162.50","109.64K","0.00%"
"01/06/2021","162.50","162.50","165.00","162.50","303.90K","0.00%"
"31/05/2021","162.50","160.90","162.50","162.50","403.00K","0.99%"
"28/05/2021","160.90","160.50","160.90","160.90","951.27K","0.25%"
"27/05/2021","160.50","160.50","163.00","160.00","110.93K","0.00%"
"26/05/2021","160.50","160.50","163.00","160.00","133.96K","0.00%"
"25/05/2021","160.50","160.50","162.80","160.00","302.20K","0.00%"
"24/05/2021","160.50","160.00","160.50","160.50","570.39K","0.31%"
"21/05/2021","160.00","160.00","160.00","160.00","299.35K","0.00%"
"20/05/2021","160.00","160.00","163.00","160.00","154.61K","0.00%"
"19/05/2021","160.00","160.00","163.10","160.00","191.69K","0.00%"
"18/05/2021","160.00","160.00","160.00","160.00","541.61K","0.00%"
"17/05/2021","160.00","161.70","160.00","160.00","1.96M","-1.05%"
"14/05/2021","161.70","161.70","164.50","160.10","1.59M","0.00%"
"11/05/2021","161.70","162.00","161.70","161.70","577.26K","-0.19%"
"10/05/2021","162.00","162.00","169.00","162.00","347.39K","0.00%"
"07/05/2021","162.00","162.00","165.90","160.20","160.10K","0.00%"
"06/05/2021","162.00","169.90","162.00","161.00","3.40M","-4.65%"
"05/05/2021","169.90","168.10","169.90","169.90","1.59M","-2.36%"
"04/05/2021","174.00","174.90","175.00","174.00","2.78M","-0.51%"
"30/04/2021","174.90","171.50","174.90","174.90","2.13M","1.98%"
"29/04/2021","171.50","165.00","171.50","171.50","576.77K","3.94%"
"28/04/2021","165.00","165.00","174.90","168.00","47.75K","0.00%"
"27/04/2021","165.00","165.00","171.00","165.10","338.01K","0.00%"
"26/04/2021","165.00","165.00","174.90","168.10","273.33K","0.00%"
"23/04/2021","165.00","165.00","170.00","166.20","163.10K","0.00%"
"22/04/2021","165.00","165.00","170.00","165.50","158.23K","0.00%"
"21/04/2021","165.00","165.00","169.00","164.00","66.96K","0.00%"
"20/04/2021","165.00","163.30","165.00","165.00","605.64K","1.04%"
"19/04/2021","163.30","163.00","163.30","163.30","181.73M","0.18%"
"16/04/2021","163.00","161.00","163.00","163.00","570.71K","1.24%"
"15/04/2021","161.00","161.00","163.90","160.00","103.08K","0.00%"
"14/04/2021","161.00","160.00","161.00","161.00","1.14M","0.63%"
"13/04/2021","160.00","163.90","162.00","160.00","2.23M","-2.38%"
"12/04/2021","163.90","163.90","163.90","161.00","308.14K","0.00%"
"09/04/2021","163.90","162.00","163.90","160.00","1.26M","1.17%"
"08/04/2021","162.00","162.00","167.00","162.00","103.40K","0.00%"
"07/04/2021","162.00","160.20","162.00","160.20","2.35M","1.12%"
"06/04/2021","160.20","160.20","165.00","162.00","270.03K","0.00%"
"01/04/2021","160.20","160.20","164.80","160.00","225.94K","0.00%"
"31/03/2021","160.20","165.00","160.20","160.20","161.39K","-2.91%"
"30/03/2021","165.00","165.00","170.00","165.00","340.39K","0.00%"
"29/03/2021","165.00","160.00","165.00","165.00","2.76M","3.13%"
"26/03/2021","160.00","163.00","160.00","160.00","1.12M","-1.84%"
"25/03/2021","163.00","161.00","163.00","160.00","10.07M","1.24%"
"24/03/2021","161.00","157.20","161.00","158.50","6.71M","2.42%"
"23/03/2021","157.20","157.00","157.20","157.20","2.75M","0.13%"
"22/03/2021","157.00","157.00","159.90","157.00","62.01K","0.00%"
"19/03/2021","157.00","159.90","160.00","157.00","1.48M","-1.81%"
"18/03/2021","159.90","159.90","159.50","156.00","700.64K","0.00%"
"17/03/2021","159.90","159.90","159.90","156.00","74.08K","0.00%"
"16/03/2021","159.90","158.00","159.90","159.90","677.55K","1.20%"
"15/03/2021","158.00","158.00","160.00","158.00","85.03K","0.00%"
"12/03/2021","158.00","160.00","158.00","158.00","861.71K","-1.25%"
"11/03/2021","160.00","160.00","160.00","159.90","628.22K","0.00%"
"10/03/2021","160.00","160.00","160.00","155.00","332.71K","0.00%"
"09/03/2021","160.00","170.00","160.00","160.00","15.18M","-5.88%"
"08/03/2021","170.00","170.00","168.00","160.00","1.04M","0.00%"
"05/03/2021","170.00","170.00","169.00","160.00","643.20K","0.00%"
"04/03/2021","170.00","170.00","169.90","160.60","599.06K","0.00%"
"03/03/2021","170.00","174.00","170.00","170.00","1.52M","-2.30%"
"02/03/2021","174.00","174.00","172.00","160.20","503.06K","0.00%"
"01/03/2021","174.00","174.00","175.00","160.20","901.93K","0.00%"
"26/02/2021","174.00","179.90","174.00","174.00","780.94K","-3.28%"
"25/02/2021","179.90","179.90","179.90","176.70","1.38M","0.00%"
"24/02/2021","179.90","180.00","179.90","179.90","278.73K","-0.06%"
"23/02/2021","180.00","180.00","180.00","178.10","1.56M","0.00%"
"22/02/2021","180.00","180.00","180.00","180.00","2.58M","0.00%"
"19/02/2021","180.00","180.00","180.00","178.00","122.99K","0.00%"
"18/02/2021","180.00","181.70","180.00","180.00","779.77K","-0.94%"
"17/02/2021","181.70","180.00","181.90","181.00","3.07M","0.94%"
"16/02/2021","180.00","180.00","181.70","180.00","2.63M","0.00%"
"15/02/2021","180.00","182.00","180.00","180.00","1.94M","-1.10%"
"12/02/2021","182.00","182.90","182.00","182.00","2.44M","-0.49%"
"11/02/2021","182.90","180.00","182.90","180.00","8.69M","1.61%"
"10/02/2021","180.00","180.00","180.00","179.00","4.70M","0.00%"
"09/02/2021","180.00","180.00","180.00","180.00","2.89M","0.00%"
"08/02/2021","180.00","180.00","185.90","180.00","649.50K","0.00%"
"05/02/2021","180.00","181.00","183.00","180.00","4.74M","-0.55%"
"04/02/2021","181.00","181.00","189.50","184.10","311.23K","0.00%"
"03/02/2021","181.00","181.00","189.00","185.00","501.88K","0.00%"
"02/02/2021","181.00","181.00","190.00","181.00","627.73K","0.00%"
"01/02/2021","181.00","181.00","188.00","181.00","1.34M","0.00%"
"29/01/2021","181.00","175.00","181.00","180.10","5.25M","3.43%"
"28/01/2021","175.00","175.00","189.00","176.00","803.15K","0.00%"
"27/01/2021","175.00","170.90","175.00","175.00","2.74M","2.40%"
"26/01/2021","170.90","170.00","170.90","170.90","1.45M","0.53%"
"25/01/2021","170.00","170.00","175.00","170.10","242.51K","0.00%"
"22/01/2021","170.00","170.00","170.10","170.00","6.15M","0.00%"
"21/01/2021","170.00","170.20","170.00","170.00","3.13M","-0.12%"
"20/01/2021","170.20","170.00","170.20","170.20","864.24K","0.12%"
"19/01/2021","170.00","170.00","172.00","170.00","639.65K","0.00%"
"18/01/2021","170.00","170.00","172.00","168.00","470.60K","0.00%"
"15/01/2021","170.00","168.00","170.00","168.00","2.05M","1.19%"
"14/01/2021","168.00","165.00","168.00","168.00","354.71K","1.82%"
"13/01/2021","165.00","165.00","170.00","165.00","13.41M","0.00%"
"12/01/2021","165.00","165.20","165.00","164.90","4.11M","-0.12%"
"11/01/2021","165.20","165.20","173.60","165.90","164.96K","0.00%"
"08/01/2021","165.20","165.20","173.00","165.90","133.84K","0.00%"
"07/01/2021","165.20","165.20","173.80","165.50","110.94K","0.00%"
"06/01/2021","165.20","165.20","174.90","165.20","66.44K","0.00%"
"05/01/2021","165.20","169.90","175.00","160.00","3.53M","-2.77%"
"04/01/2021","169.90","169.90","186.00","165.00","86.32K","0.00%"
"31/12/2020","169.90","160.00","169.90","160.00","25.44M","6.19%"
"30/12/2020","160.00","160.00","165.00","160.00","125.06K","0.00%"
"29/12/2020","160.00","160.00","160.00","160.00","769.53K","0.00%"
"24/12/2020","160.00","160.00","160.50","160.00","1.97M","0.00%"
"23/12/2020","160.00","160.00","160.00","160.00","3.34M","0.00%"
"22/12/2020","160.00","160.00","160.00","159.90","13.84M","0.00%"
"21/12/2020","160.00","160.00","160.00","158.00","675.74K","0.00%"
"18/12/2020","160.00","155.00","160.00","160.00","3.97M","3.23%"
"17/12/2020","155.00","155.00","158.90","155.20","360.69K","0.00%"
"16/12/2020","155.00","155.00","159.00","155.00","363.37K","0.00%"
"15/12/2020","155.00","155.00","157.00","155.00","334.06K","0.00%"
"14/12/2020","155.00","155.00","155.00","155.00","2.72M","0.00%"
"11/12/2020","155.00","155.00","155.00","150.00","1.66M","0.00%"
"10/12/2020","155.00","156.20","155.00","155.00","2.61M","-0.77%"
"09/12/2020","156.20","156.20","159.00","156.50","310.51K","0.00%"
"08/12/2020","156.20","156.20","159.90","155.00","594.84K","0.00%"
"07/12/2020","156.20","156.20","160.00","156.00","291.63K","0.00%"
"04/12/2020","156.20","156.20","159.80","156.10","252.09K","0.00%"
"03/12/2020","156.20","155.00","160.00","156.00","27.41M","0.77%"
"02/12/2020","155.00","155.00","155.00","155.00","705.04K","0.00%"
"01/12/2020","155.00","155.20","155.00","155.00","417.72K","-0.13%"
"30/11/2020","155.20","155.00","155.20","155.00","3.21M","0.13%"
"27/11/2020","155.00","153.00","155.00","153.00","11.58M","1.31%"
"26/11/2020","153.00","153.00","153.00","153.00","4.48M","0.00%"
"25/11/2020","153.00","153.00","153.00","153.00","3.00M","0.00%"
"24/11/2020","153.00","153.00","153.00","150.00","1.10M","0.00%"
"23/11/2020","153.00","153.00","153.00","150.00","371.73K","0.00%"
"20/11/2020","153.00","155.00","153.00","153.00","2.82M","-1.29%"
"19/11/2020","155.00","155.00","156.90","150.20","406.21K","0.00%"
"18/11/2020","155.00","155.00","155.00","155.00","1.82M","0.00%"
"17/11/2020","155.00","155.00","155.00","155.00","1.41M","0.00%"
"16/11/2020","155.00","155.00","159.20","150.00","940.24K","0.00%"
"13/11/2020","155.00","162.00","155.00","155.00","2.85M","-4.32%"
"12/11/2020","162.00","160.00","162.00","160.00","17.01M","1.25%"
"11/11/2020","160.00","156.20","160.00","160.00","1.04M","2.43%"
"10/11/2020","156.20","150.10","156.20","155.00","681.48K","4.06%"
"09/11/2020","150.10","144.00","150.10","150.00","8.08M","4.24%"
"06/11/2020","144.00","144.00","150.00","145.80","519.73K","0.00%"
"05/11/2020","144.00","144.00","149.00","145.60","112.52K","0.00%"
"04/11/2020","144.00","144.00","149.90","145.20","100.09K","0.00%"
"03/11/2020","144.00","144.00","150.00","144.20","632.59K","0.00%"
"02/11/2020","144.00","144.00","153.00","144.00","229.40K","0.00%"
"30/10/2020","144.00","140.00","144.00","143.10","2.36M","2.86%"
"28/10/2020","140.00","140.00","140.00","140.00","1.12M","0.00%"
"27/10/2020","140.00","140.00","140.00","140.00","1.53M","0.00%"
"26/10/2020","140.00","140.00","140.00","140.00","975.17K","0.00%"
"23/10/2020","140.00","140.00","141.00","138.00","283.38K","0.00%"
"22/10/2020","140.00","138.00","140.00","140.00","1.71M","1.45%"
"21/10/2020","138.00","140.00","138.00","138.00","1.50M","-1.43%"
"20/10/2020","140.00","140.00","140.00","139.10","1.87M","0.00%"
"19/10/2020","140.00","140.00","140.00","140.00","1.90M","0.00%"
"16/10/2020","140.00","140.00","140.50","140.00","1.82M","0.00%"
"15/10/2020","140.00","140.00","140.00","140.00","3.24M","0.00%"
"14/10/2020","140.00","140.00","140.70","139.00","1.06M","0.00%"
"13/10/2020","140.00","140.00","140.00","140.00","1.08M","0.00%"
"12/10/2020","140.00","140.50","140.00","140.00","2.54M","-0.36%"
"09/10/2020","140.50","140.50","140.00","136.50","1.34M","0.00%"
"08/10/2020","140.50","140.50","140.30","135.00","1.14M","0.00%"
"07/10/2020","140.50","142.70","141.00","140.10","2.91M","-1.54%"
"06/10/2020","142.70","135.00","142.70","135.00","3.28M","5.70%"
"05/10/2020","135.00","130.00","135.00","135.00","1.41M","3.85%"
"02/10/2020","130.00","129.00","130.00","130.00","818.58K","0.78%"
"30/09/2020","129.00","127.50","129.00","127.00","4.19M","1.18%"
"29/09/2020","127.50","126.50","127.50","127.50","865.89K","0.79%"
"28/09/2020","126.50","124.00","126.50","124.00","5.53M","2.02%"
"25/09/2020","124.00","124.00","124.50","124.00","460.64K","0.00%"
"24/09/2020","124.00","123.90","124.00","123.80","1.84M","0.08%"
"23/09/2020","123.90","123.00","123.90","120.00","25.72M","0.73%"
"22/09/2020","123.00","120.10","123.00","120.00","13.28M","2.41%"
"21/09/2020","120.10","120.00","120.10","120.00","6.41M","0.08%"
"18/09/2020","120.00","120.00","120.00","120.00","4.77M","0.00%"
"17/09/2020","120.00","120.00","120.00","120.00","2.68M","0.00%"
"16/09/2020","120.00","120.00","120.00","119.70","8.86M","0.00%"
